path,exists,tracked,git_status,category,state,function,recommended_action,seo_impact,delete_risk,size_bytes,incoming_count,incoming_from,outgoing_count,outgoing_to
server/reservation-store.js,true,false,??,backend,soporte,"Backend, helpers de runtime y smoke tests",se queda,medio,alto,2220,0,,0,
server/server-http.js,true,true,M,backend,soporte,"Backend, helpers de runtime y smoke tests",se queda,medio,alto,5359,0,,0,
server/site-audit-utils.js,true,false,??,backend,soporte,"Backend, helpers de runtime y smoke tests",se queda,medio,alto,3062,0,,0,
server/test-server.js,true,true,M,backend,soporte,"Backend, helpers de runtime y smoke tests",se queda,medio,alto,26910,0,,0,
server/verificar-stripe.js,true,true,,backend,soporte,"Backend, helpers de runtime y smoke tests",se queda,medio,alto,4692,0,,0,
site-legacy/_redirects,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/.htaccess,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/about.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/app/reserve/page.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/brands/ferrari-clean.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/brands/lamborghini-clean.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/brands/mercedes-clean.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/brands/porsche-clean.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/brands/rolls-royce-badge-transparent.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/config.js,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/contact.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/css/dp-bridge.css,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/css/hero-lab.css,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/css/home.css,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/css/home/00-foundation.css,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/css/home/10-header-hero.css,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/css/home/20-booking.css,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/css/home/30-sections.css,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/css/home/40-contact-footer.css,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/css/home/90-responsive.css,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/css/hub-pages.css,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/css/seo-landing.css,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/downtown-dubai-supercar-rental.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/dubai-marina-luxury-car-rental.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/favicon.ico,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/ferrari-rental-downtown-dubai.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/ferrari-rental-dubai.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/fleet.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/g63-rental-dubai-marina.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/g63-rental-dubai.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/hero-lab-layout.svg,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/hero-lab.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/icons/favicon.ico,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/icons/icon-128.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/icons/icon-16.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/icons/icon-180.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/icons/icon-192.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/icons/icon-256.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/icons/icon-32.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/icons/icon-384.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/icons/icon-48.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/icons/icon-512.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/icons/icon-64.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/icons/icon-96.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/dp-crest-cropped.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/dynasty-prestige-logo.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/lamborghini-huracan/01-exterior-front.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/lamborghini-huracan/02-center-console.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/lamborghini-huracan/03-exterior-rear.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/lamborghini-huracan/04-interior-cockpit.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/lamborghini-huracan/05-seat-detail.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/lamborghini-huracan/06-steering-wheel-detail.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/lamborghini-urus/01-exterior-front.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/lamborghini-urus/02-interior-cockpit.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/lamborghini-urus/03-interior-dashboard.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/lamborghini-urus/04-interior-front-seats.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/lamborghini-urus/05-interior-rear-seats.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/lamborghini-urus/06-exterior-rear.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/rolls-royce-cullinan-black-badge/01-exterior-rear.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/rolls-royce-cullinan-black-badge/02-exterior-front.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/rolls-royce-cullinan-black-badge/03-interior-front-seats.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/rolls-royce-cullinan-black-badge/04-interior-cockpit.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/rolls-royce-cullinan-black-badge/05-interior-rear-seats.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/images/fleet/rolls-royce-cullinan-black-badge/06-exterior-front-open-doors.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/index.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/js/contact-form.js,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/js/hero-lab.js,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/js/home-booking.js,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/js/home.js,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/lamborghini-rental-dubai.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/lamborghini-rental-palm-jumeirah.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/locations.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/logo-dp-transparent.png,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/luxury-car-rental-dubai.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/manifest.json,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/media/hero-dubai-sunset.mp4,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/media/hero-sports-road.mp4,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/mercedes-rental-dubai.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/palm-jumeirah-luxury-car-rental.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/porsche-rental-dubai.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/robots.txt,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/rolls-royce-rental-dubai.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/services.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/sitemap.xml,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/supercar-rental-dubai.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/sw.js,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/terms-and-conditions-uae.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site-legacy/terms-and-conditions.html,false,true,D,legacy,legacy,Rastro de la version anterior del sitio,se elimina,ninguno,bajo,0,0,,0,
site/_redirects,true,true,,produccion,produccion,"Superficie publica, asset o metadata servida en produccion",se queda,medio,alto,198,0,,0,
site/.htaccess,true,true,,produccion,produccion,"Superficie publica, asset o metadata servida en produccion",se queda,medio,alto,2754,0,,0,
